question,correct_answer,student_answer,gap_type,gap_score,socratic_question
What distinguishing characteristic of annelid anatomy shows specialization and adaptation?,segmentation,segmentation,correct,0.9999998807907104,Can you explain your reasoning?
All living things need air and this to survive?,water,water,correct,1.0,Can you explain your reasoning?
The passage is most probably taken from   _  .,a history book,a history book,correct,0.9999998807907104,Why do you think that is the case?
What do we call the cartilaginous structure that surrounds the notochrod?,arcualia,arcualia,correct,1.0,Can you explain your reasoning?
It can be inferred that in America   _  .,famous colleges charge their students more money,This is incorrect because famous,misconception,0.2707898020744324,Why do you think that is the case?
"From the sentence ""Henry served the gorilla his salad personally, knowing that his waiters and waitresses would be too frightened"" you learn that:   _  .",Henry didn't normally serve customers,This is incorrect because Henry,incomplete,0.6042973399162292,Why do you think that is the case?
Ringworm and athlete's foot are human diseases caused by what simple organisms?,fungi,fungi,correct,0.9999998807907104,Can you explain your reasoning?
What is the study of the similarities and differences in the embryos of different species?,comparative embryology,comparative embryology,correct,1.0000001192092896,Can you explain your reasoning?
What's the best title of the passage?,Terrible Quake Hits South Asia,This is incorrect because Terrible,misconception,0.2197725772857666,Why do you think that is the case?
How did Jimmy feel on hearing the interviewer's question?,There was no hope for him to get the job,This is incorrect because There,misconception,0.12951627373695374,Why do you think that is the case?
What inspired the author with the idea of building an online bookstore?,The greatly increasing usage of the Internet.,This is incorrect because The,misconception,0.12778198719024658,Why do you think that is the case?
"Electrons in covalent compounds are shared between the two atoms, unlike the case in what type of bonds?",ionic bonds,ionic bonds,correct,0.9999999403953552,Can you explain your reasoning?
"Which, according to the writer, is true?",No other film center made more films than Hollywood did.,No other film center made more films than,correct,0.8863577842712402,Why do you think that is the case?
What is composed of two strands of nucleotides in a double-helical structure?,dna,dna,correct,0.9999998807907104,Can you explain your reasoning?
The passage is mainly about  _  .,the cause why the Red Sea is parting again,the cause why the Red Sea is parting again,correct,1.0000001192092896,Why do you think that is the case?
It can be learnt from the text that the aging of the population in America   _   .,has changed people's understanding of age,has changed people's understanding of age,correct,1.0,Why do you think that is the case?
We can know from the passage that   _  .,the author might not regret if he failed the idea,the author might not regret if he failed,correct,0.9284133911132812,Why do you think that is the case?
How many people die from air pollution each year?,22 million,22 million,correct,1.0,Can you explain your reasoning?
What is the name of the type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,meristem,meristem,correct,1.0,Can you explain your reasoning?
"According to the passage, J. R. R. Tolkien is   _  .",the author of The Lord of the Rings,the author of The Lord of the Rings,correct,1.0000001192092896,Why do you think that is the case?
It is probably most difficult for Smarter Child to_.,learn the ability to tell right behaviors from wrong ones.,learn the ability to tell right behaviors from,correct,0.895730197429657,Why do you think that is the case?
What's the main idea of the passage?,What's a headache and its effect.,What's a headache and,correct,0.8919780254364014,Why do you think that is the case?
How many major forces of elevation cause allele frequencies to change?,four,four,correct,0.9999999403953552,Can you explain your reasoning?
Which of the following statements is true?,Adams is not only a writer but also a professor.,This is incorrect because Adams,incomplete,0.589228630065918,Why do you think that is the case?
"Whether the organism is a bacterium, plant, or animal, all living things access energy by breaking down these?",carbohydrate molecules,carbohydrate molecules,correct,1.0000001192092896,Can you explain your reasoning?
"In the opinion of the critics,the main problems are_.",the practical knowledge is impractical,This is incorrect because the,misconception,0.13144779205322266,Why do you think that is the case?
"According to the passage, which statement is true?","Being Palestinian leader, Arafat would rather die in his own country than be driven away from his people.",This is incorrect because Being,misconception,0.16256161034107208,Why do you think that is the case?
"If a couple and their 10-year-old boy want to take 5 tennis classes, they should pay_.",PS64.5,PS64.5,correct,1.0,Why do you think that is the case?
"Aerobic exercise helps improve the cardiovascular system, while what exercise causes muscles to get bigger and stronger?",anaerobic,anaerobic,correct,0.9999998211860657,Can you explain your reasoning?
Where does most of our food come from?,angiosperms,angiosperms,correct,0.9999998211860657,Can you explain your reasoning?
What will be the huge psychological shift Trevor mentioned at the end of the passage?,The other three leaders all support Obama.,The other three leaders all,incomplete,0.6319181323051453,Why do you think that is the case?
Man cannot prevent the world from being polluted mainly because  _  .,we have more and more industry,we have more and more industry,correct,0.9999999403953552,Why do you think that is the case?
"According to the passage, alcohol has something to do with bad breath mainly because   _  .",it affects the normal flow of saliva,it affects the normal flow of saliva,correct,0.9999999403953552,Why do you think that is the case?
Which of the following sentences might Hoogewerf agree with?,Chinese companies need to work hard to improve their finance management and public relations.,Chinese companies need to work hard to improve their finance management and,correct,0.9361401796340942,Why do you think that is the case?
